"VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_0	-06_nJnhORg_0-5-gloss	4.27	25.46	SOME DAY THAT ARE THE HARD FS:1 ARE WHEN KNOW ME START FS:OUT FIRST THING IN MORNING AND KNOW SOMETIME ME GET UP ON WRONG SIDE BED KNOW DIFFERENT TYPE TITLE YOU GO THROUGH USE"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_2	-06_nJnhORg_2-5-gloss	26.3	46.82	YOU GET LATE START YOU GET TO HOUSE AND ADD BIG MESS AND KNOW ET+CETERA ET+CETERA ONE THING AFTER ANOTHER LEAD TO A TOUGH DAY FS:OF FS:A LONG TOUGH DAY WORK"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_3	-06_nJnhORg_3-5-gloss	46.82	66.25	GENERAL ME WILL SCHEDULE FS:2 TO FS:3 HOUSE FS:A DAY AND IF ME GET LATE START YOU+KNOW OF+COURSE THAT WILL RECENT DELAY NEXT JOB THEN ANOTHER JOB BUMP+BACK CL:CLOSED B(schedule pushed back all day) THEN IT CAN BE FS:7 FS:OR FS:8 FS:AT NIGHT WHEN ME BACK HOME "
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_4_5	-06_nJnhORg_4_5-5-gloss	66.25	87.92	ONE THING ME LIKE ME TRY NOT TO DO IS TO INTERFERE WITH MY CLIENT FAMILY TIME ALSO FS:SO IF ME GET LATE START AND MAYBE ME HAVE FS:A INCREDIBLE MESSY HOUSE ME MUST CLEAN AND ME NOT PREPARE THEN MY DAY GET LATE AND LATE AND ME START TO INTERFERE INTO THEIR FAMILY TIME"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_6_7	-06_nJnhORg_6_7-5-gloss	87.92	98.35	AND THAT MAKE FS:IT TOUGH FOR ME ME DON'T+LIKE TO DO THAT FS:AT FS:ALL THAT POSSIBLE THE HARD FS:EST PART IF ME NOT START MY DAY RIGHT"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_8	-06_nJnhORg_8-5-gloss	98.35	107.605	I SO-SO HAVE TO MENTAL PREPARE MYSELF FOR MY DAY THAT TOUGH DAY FOR ME NOT TO PREPARE FOR MYSELF"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_9	-06_nJnhORg_9-5-gloss	107.605	112.12	FS:1 FS:OF MY TOUGH DAY FS:ARE THURSDAYS"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_10	-06_nJnhORg_10-5-gloss	112.12	118.195	ME HAVE A+LOT FS:OF CLIENT THAT WANT CLEAN FINISH THURSDAYS BEFORE THE WEEKEND"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_11	-06_nJnhORg_11-5-gloss	118.195	122.442	FS:SO THURSDAYS ARE REAL PACKED CL:OPEN 5(crowded) BUSY"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_12	-06_nJnhORg_12-5-gloss	122.442	135.205	ME HAVE FS:3 BIG WORK FS:3 BIG HOUSE AND FS:3 FS:4 BED ROOM AND RECENT LARGE HOUSE FS:SO THAT MAKES FS:A REAL LONG DAY"
