"VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE"
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_0	-06_nJnhORg_0-5-rgb_front	4.27	25.46	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_1	-06_nJnhORg_1-5-rgb_front	15.04	17.91	But things just don't go right from the very beginning."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_10	-06_nJnhORg_10-5-rgb_front	112.12	118.19	I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_11	-06_nJnhORg_11-5-rgb_front	118.19	122.44	So Thursdays are really jam-packed."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_12	-06_nJnhORg_12-5-rgb_front	122.44	135.21	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_13	-06_nJnhORg_13-5-rgb_front	135.2	144.73	And, I had one of those days where I just woke up and things just didn't want to go my way."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_14	-06_nJnhORg_14-5-rgb_front	144.73	151.25	So I...I continued to fight through it, fight through it...didn't feel real great."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_15	-06_nJnhORg_15-5-rgb_front	151.25	158.66	So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_16	-06_nJnhORg_16-5-rgb_front	158.66	169.51	So, got to the next job, and, you know, moving right along, and I go out to get some cleaning supplies out of my car, and it's locked."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_17	-06_nJnhORg_17-5-rgb_front	169.51	186.33	And I go to get my keys out of my little supply box, and they weren't in there, so, I, you know, look around for my keys, and, sure enough, they are locked in my car and I have no extras."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_18	-06_nJnhORg_18-5-rgb_front	186.33	196.03	I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_19	-06_nJnhORg_19-5-rgb_front	196.03	198.68	And, so, that was kind of tough."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_2	-06_nJnhORg_2-5-rgb_front	26.3	46.82	You get a late start, you, you know, get to the house and it's an extra big mess, and, you know, you just....one thing after the other just leads to a tough day of...of a long tough day working."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_20	-06_nJnhORg_20-5-rgb_front	198.68	210.29	So, I, you know, I had to just fight through the cleaning, and had to have a lock-smith come out and open my doors, and I had to go to another job."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_21	-06_nJnhORg_21-5-rgb_front	224.24	225.06	So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_3	-06_nJnhORg_3-5-rgb_front	46.82	66.25	Generally, I...I will schedule two to three houses a day, and if I get a late start then, you know, of course, that just delays the next job, and then the next job, and then it can be seven or eight at night when I get home."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_4_5	-06_nJnhORg_4_5-5-rgb_front	66.25	87.92	And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_6_7	-06_nJnhORg_6_7-5-rgb_front	87.92	98.35	And...and that makes it tough for me, I don't...I don't like to do that at all. So that's probably the hardest part, is, if I don't start my day right."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_8	-06_nJnhORg_8-5-rgb_front	98.35	107.61	So, I kind of have to mentally prepare myself for my day, so, that's probably the hardest day for me, is not preparing myself."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_9	-06_nJnhORg_9-5-rgb_front	107.61	112.12	One of my toughest days are Thursdays."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_0	-1Uik-vwQoc_0-5-rgb_front	2.21	11.86	I'm Cooie Grey-Lavin and in this clip, I'll show you how to use unique headstones to customize your yard."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_1	-1Uik-vwQoc_1-5-rgb_front	11.86	24.72	Another way to add interest to your yard, in our family we make little headstones for all our dogs that have died."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_2	-1Uik-vwQoc_2-5-rgb_front	24.75	27.92	This particular one is our Golden Retriever."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_3	-1Uik-vwQoc_3-5-rgb_front	27.92	34.06	Scooter, so that's his name in old typeset."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_4	-1Uik-vwQoc_4-5-rgb_front	34.08	37.55	These are the colors that were in his collar."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_5	-1Uik-vwQoc_5-5-rgb_front	37.55	55.34	He was a Golden Retriever, so we have that and he also loved to chase raccoons and he had chased one a short time before he died, so we put a raccoon in it."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_6	-1Uik-vwQoc_6-5-rgb_front	55.34	64.39	That you can place around the yard, it's a simple mosaic stepping stone technique but we just added some different pieces to make it more interesting."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_7	-1Uik-vwQoc_7-5-rgb_front	64.39	75.58	You can add memorial plaques or plaques for members of your family that are, don't live there and you miss them to sort of remembrances."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_8	-1Uik-vwQoc_8-5-rgb_front	75.58	79.47	They add a nice personal touch to your yard."
"-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_9	-1Uik-vwQoc_9-5-rgb_front	79.47	87.15	Adding a mosaic headstone to your yard can make more personal and unique."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_0	-1XUnputrgk_0-5-rgb_front	0.82	3.63	Okay, another thing that for me is important."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_1	-1XUnputrgk_1-5-rgb_front	3.63	4.99	It may not be for you."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_10	-1XUnputrgk_10-5-rgb_front	44.12	47.35	Feel free to get the."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_11	-1XUnputrgk_11-5-rgb_front	47.73	50.17	You have little masks, they're just paper masks."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_12	-1XUnputrgk_12-5-rgb_front	50.17	52.69	You can get them at Home Depot or Lowes."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_13	-1XUnputrgk_13-5-rgb_front	52.69	55.38	And they're actually called painters masks."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_14	-1XUnputrgk_14-5-rgb_front	55.38	58.4	Some of them are just made of paper."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_15	-1XUnputrgk_15-5-rgb_front	58.4	60.22	But they're very affordable."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_16	-1XUnputrgk_16-5-rgb_front	60.22	68.73	You can get a pack of, you know, several for just a couple of dollars."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_17	-1XUnputrgk_17-5-rgb_front	68.73	70.69	So make sure you."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_18	-1XUnputrgk_18-5-rgb_front	71.27	75.03	If you have those, keep them in here on hand."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_19	-1XUnputrgk_19-5-rgb_front	75.03	77.97	You know, it protects your health when you're cleaning."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_2	-1XUnputrgk_2-5-rgb_front	4.99	13.13	But for me I use very strong chemicals."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_20	-1XUnputrgk_20-5-rgb_front	77.97	82.41	You don't have to worry about any hazardous chemical getting into your system."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_21	-1XUnputrgk_21-5-rgb_front	82.41	86.56	And it just makes the whole process a lot safer for you."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_22	-1XUnputrgk_22-5-rgb_front	86.56	91.32	And for your children if you have children that help out cleaning around the house."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_23	-1XUnputrgk_23-5-rgb_front	91.32	94.25	So I would recommend having a mask on hand."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_3	-1XUnputrgk_3-5-rgb_front	13.14	18.4	Some people may prefer to use products that don't have chemicals."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_4	-1XUnputrgk_4-5-rgb_front	18.47	24.33	But because I do, I enjoy having the disinfectants."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_5	-1XUnputrgk_5-5-rgb_front	24.33	27.6	I like to wear a mask while I'm cleaning."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_6	-1XUnputrgk_6-5-rgb_front	29.1	33.58	Because you don't need to be breathing those chemicals in."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_7	-1XUnputrgk_7-5-rgb_front	33.58	36.16	Especially you know when, I'm pregnant."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_8	-1XUnputrgk_8-5-rgb_front	36.32	39.61	A lot of women, a lot of you out there."
"-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_9	-1XUnputrgk_9-5-rgb_front	39.61	42.5	And men too that clean bathrooms."
"-1rM0t5FMiE	-1rM0t5FMiE-5-rgb_front	-1rM0t5FMiE_0	-1rM0t5FMiE_0-5-rgb_front	0.51	3.22	We're doing the scissoring now."
"-1rM0t5FMiE	-1rM0t5FMiE-5-rgb_front	-1rM0t5FMiE_1	-1rM0t5FMiE_1-5-rgb_front	3.22	6.3	There are two types of scissors that I like to use."
"-1rM0t5FMiE	-1rM0t5FMiE-5-rgb_front	-1rM0t5FMiE_2	-1rM0t5FMiE_2-5-rgb_front	6.3	18.01	The straight pair of scissors that are straight and long and then curved pair of scissors that help with around the feet and areas like that."
"-1rM0t5FMiE	-1rM0t5FMiE-5-rgb_front	-1rM0t5FMiE_3	-1rM0t5FMiE_3-5-rgb_front	18.01	33.89	First I'm going to straighten up her leg, to where I position the leg where I want it and then I'm going to go down the backside of the leg."
