"VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE"
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_0	-06_nJnhORg_0-5-rgb_front	4.27	25.46	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_10	-06_nJnhORg_10-5-rgb_front	112.12	118.19	I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_11	-06_nJnhORg_11-5-rgb_front	118.19	122.44	So Thursdays are really jam-packed."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_12	-06_nJnhORg_12-5-rgb_front	122.44	135.21	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_13	-06_nJnhORg_13-5-rgb_front	135.2	144.73	And, I had one of those days where I just woke up and things just didn't want to go my way."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_14	-06_nJnhORg_14-5-rgb_front	144.73	151.25	So I...I continued to fight through it, fight through it...didn't feel real great."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_15	-06_nJnhORg_15-5-rgb_front	151.25	158.66	So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_16	-06_nJnhORg_16-5-rgb_front	158.66	169.51	So, got to the next job, and, you know, moving right along, and I go out to get some cleaning supplies out of my car, and it's locked."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_17	-06_nJnhORg_17-5-rgb_front	169.51	186.33	And I go to get my keys out of my little supply box, and they weren't in there, so, I, you know, look around for my keys, and, sure enough, they are locked in my car and I have no extras."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_18	-06_nJnhORg_18-5-rgb_front	186.33	196.03	I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car."
"-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_19	-06_nJnhORg_19-5-rgb_front	196.03	198.68	And, so, that was kind of tough."
